date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-05-29,1549.78,1562.8,1548.85,1557.22,1965128.0,3289173345.0,1256197800.0,0.0015643459971033224
2024-05-30,1558.15,1558.51,1533.97,1533.97,3220792.0,5333306808.0,1256197800.0,0.002563921064023516
2024-05-31,1535.36,1547.46,1533.46,1533.46,2185665.0,3617654788.0,1256197800.0,0.0017399051327744723
2024-06-03,1534.9,1535.75,1521.05,1525.03,3026105.0,4966041477.0,1256197800.0,0.0024089398978409293
2024-06-04,1526.06,1540.48,1522.39,1537.87,2084108.0,3432497303.0,1256197800.0,0.001659060380459192
2024-06-05,1536.76,1542.97,1528.41,1529.32,1905557.0,3140824328.0,1256197800.0,0.0015169243251341468
2024-06-06,1529.0,1536.75,1521.79,1525.42,2561005.0,4205700983.0,1256197800.0,0.002038695657642451
2024-06-07,1531.3,1531.34,1506.07,1506.23,3352455.0,5453120695.0,1256197800.0,0.002668731787302923
2024-06-11,1491.17,1493.04,1457.69,1459.55,7024676.0,11090577610.0,1256197800.0,0.005592014251258839
2024-06-12,1460.48,1479.08,1460.48,1462.04,3317050.0,5230086503.0,1256197800.0,0.0026405475316068853
2024-06-13,1466.78,1466.89,1444.8,1446.53,3618597.0,5654938942.0,1256197800.0,0.0028805949190485766
2024-06-14,1446.52,1454.86,1414.39,1446.52,5951416.0,9177637168.0,1256197800.0,0.004737642431789007
2024-06-17,1425.4,1440.73,1405.6,1433.97,4831816.0,7400883243.0,1256197800.0,0.0038463815173056344
2024-06-18,1424.1,1446.1,1410.88,1415.36,4125825.0,6317590943.0,1256197800.0,0.0032843752791160757
2024-06-19,1422.36,1428.06,1407.27,1425.21,4126153.0,6167728416.0,1256197800.0,0.003284636384492952
2024-06-20,1424.26,1439.47,1422.37,1424.36,2471068.0,3715924984.0,1256197800.0,0.0019671010409347957
2024-06-21,1424.74,1428.99,1395.99,1396.73,4331997.0,6418543742.0,1256197800.0,0.0034484991137542194
2024-06-24,1351.15,1413.81,1342.62,1402.0,6383993.0,9319362390.0,1256197800.0,0.005081996640974853
2024-06-25,1402.43,1427.1,1402.43,1411.59,4209795.0,6273919386.0,1256197800.0,0.0033512198477023284
2024-06-26,1405.27,1425.28,1403.19,1414.03,2956977.0,4414601922.0,1256197800.0,0.0023539103475583223
2024-06-27,1416.67,1418.54,1393.88,1415.23,3282178.0,4857959457.0,1256197800.0,0.0026127875721482716
2024-06-28,1405.27,1419.03,1390.08,1393.3,3858202.0,5699649047.0,1256197800.0,0.003071333192909588
2024-07-01,1394.72,1398.62,1355.9,1367.65,3216138.0,4636689118.0,1256197800.0,0.0025602162334625966
2024-07-02,1360.65,1422.37,1360.65,1415.43,5185298.0,7659166816.0,1256197800.0,0.004127771916174348
2024-07-03,1423.31,1436.62,1412.89,1424.26,3157326.0,4740808130.0,1256197800.0,0.002513398765703936
2024-07-04,1429.01,1435.66,1406.35,1410.72,2437973.0,3637968895.0,1256197800.0,0.0019407556676185869
2024-07-05,1404.32,1417.79,1376.79,1379.64,3882938.0,5664477336.0,1256197800.0,0.003091024359380346
2024-07-08,1370.14,1384.17,1347.49,1348.3,3952705.0,5657951348.0,1256197800.0,0.0031465625875160743
2024-07-09,1348.3,1381.43,1338.9,1365.42,3362071.0,4807957927.0,1256197800.0,0.002676386632742073
2024-07-10,1366.58,1391.87,1362.55,1365.01,2376322.0,3436693365.0,1256197800.0,0.0018916782054545869
2024-07-11,1376.76,1394.83,1367.49,1388.27,2902014.0,4236960596.0,1256197800.0,0.0023101568877130657
